Projection,Segregating Sites,Population
2,14462,Wild
3,21694,Wild
4,26568,Wild
5,30264,Wild
6,33259,Wild
7,35791,Wild
8,37995,Wild
9,39953,Wild
10,41720,Wild
11,43333,Wild
12,44818,Wild
13,46195,Wild
14,47480,Wild
15,48684,Wild
16,49818,Wild
17,50889,Wild
18,51904,Wild
19,52868,Wild
20,53787,Wild
21,54663,Wild
22,55501,Wild
23,56304,Wild
24,57075,Wild
25,57815,Wild
26,58527,Wild
27,59213,Wild
28,59874,Wild
29,60512,Wild
30,61129,Wild
31,61726,Wild
32,62304,Wild
33,62863,Wild
34,63406,Wild
35,63932,Wild
36,64444,Wild
37,64940,Wild
38,65423,Wild
39,65893,Wild
40,66350,Wild
41,66795,Wild
42,67228,Wild
43,67651,Wild
44,68063,Wild
45,68466,Wild
46,68858,Wild
47,69242,Wild
48,69616,Wild
49,69982,Wild
50,70340,Wild
51,70690,Wild
52,71032,Wild
53,71367,Wild
54,71696,Wild
55,72017,Wild
56,72332,Wild
57,72640,Wild
58,72942,Wild
59,73239,Wild
60,73529,Wild
61,73815,Wild
62,74094,Wild
63,74369,Wild
64,74639,Wild
65,74903,Wild
66,75164,Wild
67,75419,Wild
68,75670,Wild
69,75917,Wild
70,76159,Wild
71,76398,Wild
72,76633,Wild
73,76863,Wild
74,77090,Wild
75,77314,Wild
76,77534,Wild
77,77750,Wild
78,77963,Wild
79,78173,Wild
80,78380,Wild
81,78583,Wild
82,78784,Wild
83,78981,Wild
84,79176,Wild
85,79368,Wild
86,79557,Wild
87,79744,Wild
88,79928,Wild
89,80110,Wild
90,80289,Wild
91,80465,Wild
92,80639,Wild
93,80811,Wild
94,80981,Wild
95,81149,Wild
96,81314,Wild
97,81477,Wild
98,81639,Wild
99,81798,Wild
100,81955,Wild
101,82111,Wild
102,82264,Wild
103,82416,Wild
104,82565,Wild
105,82714,Wild
106,82860,Wild
107,83005,Wild
108,83148,Wild
109,83289,Wild
110,83429,Wild
111,83567,Wild
112,83704,Wild
113,83839,Wild
114,83973,Wild
115,84105,Wild
116,84236,Wild
117,84366,Wild
118,84494,Wild
119,84621,Wild
120,84746,Wild
121,84871,Wild
122,84994,Wild
123,85108,Wild
124,85229,Wild
125,85306,Wild
126,85425,Wild
127,85331,Wild
128,85447,Wild
129,84844,Wild
130,84957,Wild
131,82944,Wild
132,83052,Wild
133,77919,Wild
134,78019,Wild
135,67630,Wild
136,67714,Wild
137,49483,Wild
138,49542,Wild
139,23675,Wild
140,23701,Wild
2,9498,TV
3,14247,TV
4,17282,TV
5,19461,TV
6,21127,TV
7,22450,TV
8,23529,TV
9,24426,TV
10,25186,TV
11,25835,TV
12,26398,TV
13,26884,TV
14,27317,TV
15,27633,TV
16,27975,TV
17,27822,TV
18,28093,TV
19,26150,TV
20,26357,TV
21,19787,TV
22,19917,TV
23,9095,TV
24,9141,TV
